% CAPS-DAQ Version = 1.8.10
% CAPS software (c) Aerodyne Research, Inc.
% version: 0.10.10
% os: 3.10.17-1.0.0-technologic+g86f7675
% Serial Number: 225001
% Auto. Baseline  is   Off
% Auto. Baseline Interval = 0 HOURS 15 MINUTES
% Autosave  is   On
% Autosave Interval = 00 HOURS 01 MINUTES , starting 00 HOURS 01 MINUTES
% Divisors :  588 589 692664 294
% Mean Frequency = 16992.4
% IF Frequency = 28.874
% Exact Sample Time = .90
%             0            0           82            1
%           742           17           15           10
%            40            3            5            3
%           188          131           99          700
%             0           77   1.4100e+01          100
%    5.0000e+00            0            0            0
%    7.9000e-01   3.6781e+02   0.0000e+00   1.2799e+01
%             0          111           25       225001
%    1.3147e+05            0   0.0000e+00   2.2913e+05
%    3.8061e+02   1.0000e+00           16         DHCP
%    10.80.0.47  caps-225001            0            0
%             0   2.9962e+05   7.5672e+02   1.1017e+00
%    0.0000e+00   0.0000e+00   0.0000e+00         2000
%           -20          588           17            5
%             0            0          156           13
%             0          294   1.9200e+00   5.2500e+00
%             1 2018-6-27_at_13:09   9.7141e-01 2018-6-27_at_13:05
%    2.0616e+00   2017-09-01  -1.0972e+01  01-Jan-1970
%   -1.1177e-35  08-Mar-2016  -3.6882e-22  01-Jan-1970
%    0.0000e+00   1.0000e+00   0.0000e+00   9.6000e-01
%             0            0
IgorTime,Extinction,Loss,Pressure,Temperature,Signal,Span,Status,LastBaseline,Timestamp
3831978638.085,5.192,384.704,756.73,299.89,130405,0.79,30125,367.815,2025/06/05 14:30:38.916
3831978639.085,5.150,384.678,757.09,299.87,130461,0.79,30125,367.815,2025/06/05 14:30:39.917
3831978640.085,4.747,384.343,756.16,299.89,130452,0.79,30125,367.815,2025/06/05 14:30:40.912
3831978641.085,6.195,385.489,756.31,299.90,130426,0.79,30125,367.815,2025/06/05 14:30:41.915
3831978642.084,5.891,385.246,756.16,299.90,130486,0.79,30125,367.815,2025/06/05 14:30:42.911
3831978643.084,3.533,383.393,756.73,299.89,130413,0.79,30125,367.815,2025/06/05 14:30:43.911
3831978644.082,4.637,384.265,756.73,299.90,130439,0.79,30125,367.815,2025/06/05 14:30:44.911
3831978645.074,NaN,NaN,756.62,299.89,258751,0.79,31125,367.815,2025/06/05 14:30:45.895
3831978646.075,NaN,NaN,756.31,299.90,229182,0.79,31025,367.815,2025/06/05 14:30:46.898
3831978647.074,NaN,NaN,755.95,299.89,229187,0.79,31025,367.815,2025/06/05 14:30:47.905
3831978648.075,NaN,NaN,756.31,299.90,229194,0.79,31025,367.815,2025/06/05 14:30:48.896
3831978649.082,NaN,NaN,756.62,299.89,229230,0.79,31025,367.815,2025/06/05 14:30:50.195
3831978650.075,NaN,NaN,756.62,299.90,229198,0.79,31025,367.815,2025/06/05 14:30:50.916
3831978651.074,NaN,NaN,756.16,299.90,229222,0.79,31025,367.815,2025/06/05 14:30:51.910
