% CAPS-DAQ Version = 1.8.18
% CAPS software (c) Aerodyne Research, Inc.
% version: 0.12.7
% os: 6.6.58-gff02fcbf94a4
% Serial Number: 326001
% Total hours of operation: 1360:31
% Part: lamp installed on: 2024-01-22 in use for: 0:00 hours
% Part: pump1 installed on: 2024-01-23 in use for: 0:00 hours
% Part: pump2 installed on: 2023-08-31 in use for: 0:00 hours
% Auto. Baseline  is   On
% Auto. Baseline Interval = 0 HOURS 15 MINUTES
% Autosave  is   On
% Autosave Interval = 00 HOURS 01 MINUTES , starting 00 HOURS 01 MINUTES
% Divisors :  588 589 692664 294
% Mean Frequency = 16992.4
% IF Frequency = 28.874
% Exact Sample Time = .90
%             0            0           82            1
%          0742           17           15           10
%            40            3            5            3
%             0            0          151          700
%             0           77   6.9600e+00          100
%    0.0000e+00            0            0            0
%    7.3000e-01   2.9095e+02   0.0000e+00   6.3437e+00
%             0          111          136       326001
%    1.4402e+05            0   1.4200e+01   2.3408e+05
%    2.9729e+02   6.1100e+00           16         DHCP
%    10.80.0.61  caps-326001           35            1
%             0   2.9747e+05   7.5438e+02   1.0972e+00
%    1.8909e+04   5.3542e-01   1.1923e+01         2000
%           -20          588           17            5
%           650          950          166           13
%             0          294   1.9200e+00   5.2500e+00
%             0 2018-6-27_at_13:09   9.7141e-01 2018-6-27_at_13:05
%    2.0616e+00   2017-09-01  -1.0972e+01  01-Jan-1970
%   -1.1177e-35  08-Mar-2016  -3.6882e-22  01-Jan-1970
%    0.0000e+00   1.0000e+00   0.0000e+00   9.6000e-01
%             0            0
IgorTime,Extinction,Scattering,Loss,Pressure,Temperature,Signal,LossRef,Status,WC,SignalRef,RawScatRef,RawScat,SDR,WCRef,Timestamp
3864996848.771,1.097,0.348,298.103,756.18,297.59,143968,290.946,10136,0.536,144017.389,18909.158,19442,14,0.535,2026/06/22 14:14:08.942
3864996849.797,-0.025,0.165,297.284,756.18,297.58,144010,290.946,10136,0.535,144017.389,18909.158,19190,14,0.535,2026/06/22 14:14:09.939
3864996850.820,0.660,0.241,297.784,756.18,297.59,144022,290.946,10136,0.536,144017.389,18909.158,19292,14,0.535,2026/06/22 14:14:10.967
3864996851.853,0.202,0.053,297.450,756.18,297.59,144008,290.946,10136,0.536,144017.389,18909.158,19005,14,0.535,2026/06/22 14:14:11.950
3864996852.864,0.463,0.014,297.635,755.50,297.59,144033,290.946,10136,0.536,144017.389,18909.158,18932,14,0.535,2026/06/22 14:14:12.934
3864996853.881,-0.219,0.130,297.140,755.87,297.59,144017,290.946,10136,0.535,144017.389,18909.158,19137,14,0.535,2026/06/22 14:14:13.933
3864996854.891,0.190,-0.009,297.439,755.87,297.58,144012,290.946,10136,0.536,144017.389,18909.158,18905,14,0.535,2026/06/22 14:14:14.938
3864996855.907,-0.163,0.152,297.183,756.18,297.59,143970,290.946,10136,0.535,144017.389,18909.158,19167,14,0.535,2026/06/22 14:14:15.933
3864996856.919,-0.392,-0.035,297.012,755.71,297.59,143956,290.946,10136,0.535,144017.389,18909.158,18869,14,0.535,2026/06/22 14:14:16.933
3864996857.928,0.242,0.152,297.475,755.71,297.59,143934,290.946,10136,0.536,144017.389,18909.158,19146,14,0.535,2026/06/22 14:14:17.934
3864996858.934,-0.133,-0.080,297.202,755.87,297.59,143939,290.946,10136,0.535,144017.389,18909.158,18791,14,0.535,2026/06/22 14:14:18.933
3864996859.941,-0.348,-0.051,297.043,755.50,297.59,143909,290.946,10136,0.535,144017.389,18909.158,18834,14,0.535,2026/06/22 14:14:19.978
3864996860.943,0.475,0.230,297.643,755.50,297.59,143887,290.946,10136,0.536,144017.389,18909.158,19253,14,0.535,2026/06/22 14:14:20.933
3864996861.957,0.335,0.119,297.543,755.71,297.59,143889,290.946,10136,0.536,144017.389,18909.158,19085,14,0.535,2026/06/22 14:14:21.950
3864996862.952,0.013,0.003,297.308,755.71,297.59,143881,290.946,10136,0.535,144017.389,18909.158,18909,14,0.535,2026/06/22 14:14:22.934
3864996863.961,0.280,0.002,297.507,756.18,297.59,143845,290.946,10136,0.536,144017.389,18909.158,18902,14,0.535,2026/06/22 14:14:23.933
3864996864.960,0.028,0.171,297.320,755.87,297.59,143866,290.946,10136,0.535,144017.389,18909.158,19175,14,0.535,2026/06/22 14:14:24.933
3864996865.967,-0.034,0.024,297.275,755.87,297.59,143844,290.946,10136,0.535,144017.389,18909.158,18940,14,0.535,2026/06/22 14:14:25.941
3864996866.987,0.269,0.122,297.499,756.18,297.59,143840,290.946,10136,0.536,144017.389,18909.158,19091,14,0.535,2026/06/22 14:14:26.950
3864996867.968,0.418,-0.033,297.602,755.50,297.59,143823,290.946,10136,0.536,144017.389,18909.158,18830,14,0.535,2026/06/22 14:14:27.938
3864996868.974,0.521,0.059,297.683,756.18,297.59,143787,290.946,10136,0.536,144017.389,18909.158,18978,14,0.535,2026/06/22 14:14:28.940
3864996869.975,0.047,0.016,297.334,755.87,297.59,143821,290.946,10136,0.535,144017.389,18909.158,18923,14,0.535,2026/06/22 14:14:29.942
3864996870.974,0.242,0.106,297.477,755.87,297.59,143784,290.946,10136,0.536,144017.389,18909.158,19055,14,0.535,2026/06/22 14:14:30.940
3864996871.984,-0.452,-0.022,296.972,756.07,297.59,143776,290.946,10136,0.535,144017.389,18909.158,18873,14,0.535,2026/06/22 14:14:31.950
3864996872.977,-0.231,-0.141,297.128,755.50,297.59,143772,290.946,10136,0.535,144017.389,18909.158,18670,14,0.535,2026/06/22 14:14:32.932
3864996873.981,-0.585,0.095,296.875,756.18,297.59,143754,290.946,10136,0.535,144017.389,18909.158,19061,14,0.535,2026/06/22 14:14:33.945
3864996874.979,0.306,0.089,297.522,755.71,297.59,143730,290.946,10136,0.536,144017.389,18909.158,19017,14,0.535,2026/06/22 14:14:34.933
3864996875.975,0.166,-0.083,297.424,756.18,297.59,143719,290.946,10136,0.536,144017.389,18909.158,18754,14,0.535,2026/06/22 14:14:35.933
3864996876.992,0.494,0.204,297.666,756.54,297.59,143725,290.946,10136,0.536,144017.389,18909.158,19204,14,0.535,2026/06/22 14:14:36.953
3864996877.975,-0.123,-0.019,297.207,755.50,297.59,143713,290.946,10136,0.535,144017.389,18909.158,18853,14,0.535,2026/06/22 14:14:37.933
3864996878.979,0.041,0.094,297.330,755.87,297.59,143722,290.946,10136,0.535,144017.389,18909.158,19033,14,0.535,2026/06/22 14:14:38.933
3864996879.981,-0.465,0.121,296.964,756.33,297.58,143709,290.946,10136,0.535,144017.389,18909.158,19094,14,0.535,2026/06/22 14:14:39.932
3864996880.983,0.825,-0.109,297.904,756.18,297.59,143701,290.946,10136,0.536,144017.389,18909.158,18693,14,0.535,2026/06/22 14:14:40.933
3864996881.991,-0.183,0.057,297.163,755.50,297.58,143649,290.946,10136,0.535,144017.389,18909.158,18967,14,0.535,2026/06/22 14:14:41.949
3864996882.980,0.157,-0.117,297.416,756.07,297.59,143678,290.946,10136,0.536,144017.389,18909.158,18693,14,0.535,2026/06/22 14:14:42.932
3864996883.985,0.101,-0.000,297.370,755.50,297.59,143667,290.946,10136,0.535,144017.389,18909.158,18871,14,0.535,2026/06/22 14:14:43.932
3864996884.986,0.302,0.036,297.523,756.18,297.59,143670,290.946,10136,0.536,144017.389,18909.158,18932,14,0.535,2026/06/22 14:14:44.932
3864996885.987,0.198,0.246,297.445,755.87,297.59,143638,290.946,10136,0.536,144017.389,18909.158,19258,14,0.535,2026/06/22 14:14:45.941
3864996887.001,0.169,-0.027,297.423,755.87,297.58,143613,290.946,10136,0.536,144017.389,18909.158,18824,14,0.535,2026/06/22 14:14:46.949
3864996887.987,0.400,-0.142,297.595,756.18,297.59,143617,290.946,10136,0.536,144017.389,18909.158,18641,14,0.535,2026/06/22 14:14:47.941
3864996888.991,-0.572,-0.113,296.882,755.87,297.59,143658,290.946,10136,0.535,144017.389,18909.158,18714,14,0.535,2026/06/22 14:14:48.937
3864996889.990,-0.041,0.046,297.272,756.07,297.58,143631,290.946,10136,0.535,144017.389,18909.158,18950,14,0.535,2026/06/22 14:14:49.944
3864996890.985,-0.532,0.089,296.911,755.87,297.59,143611,290.946,10136,0.535,144017.389,18909.158,19027,14,0.535,2026/06/22 14:14:50.937
3864996892.006,0.481,0.024,297.650,755.71,297.59,143616,290.946,10136,0.536,144017.389,18909.158,18894,14,0.535,2026/06/22 14:14:51.948
3864996892.989,-0.273,0.132,297.104,756.33,297.59,143586,290.946,10136,0.535,144017.389,18909.158,19090,14,0.535,2026/06/22 14:14:52.932
3864996893.993,-0.352,0.085,297.040,755.50,297.58,143604,290.946,10136,0.535,144017.389,18909.158,19010,14,0.535,2026/06/22 14:14:53.944
3864996894.990,-0.497,-0.013,296.934,755.50,297.59,143594,290.946,10136,0.535,144017.389,18909.158,18857,14,0.535,2026/06/22 14:14:54.931
3864996895.985,0.133,-0.118,297.399,756.18,297.59,143584,290.946,10136,0.536,144017.389,18909.158,18681,14,0.535,2026/06/22 14:14:55.931
3864996897.009,0.209,0.089,297.451,755.71,297.59,143585,290.946,10136,0.536,144017.389,18909.158,19001,14,0.535,2026/06/22 14:14:56.960
3864996897.991,-0.197,-0.049,297.159,756.18,297.59,143563,290.946,10136,0.535,144017.389,18909.158,18797,14,0.535,2026/06/22 14:14:57.945
3864996898.987,-0.090,0.062,297.236,756.07,297.59,143569,290.946,10136,0.535,144017.389,18909.158,18969,14,0.535,2026/06/22 14:14:58.939
3864996899.993,0.147,0.032,297.407,755.87,297.59,143571,290.946,10136,0.536,144017.389,18909.158,18913,14,0.535,2026/06/22 14:14:59.936
3864996900.993,0.112,-0.007,297.382,755.87,297.59,143547,290.946,10136,0.535,144017.389,18909.158,18848,14,0.535,2026/06/22 14:15:00.932
3864996902.014,0.003,0.046,297.304,756.07,297.59,143562,290.946,10136,0.535,144017.389,18909.158,18940,14,0.535,2026/06/22 14:15:01.965
3864996902.993,-0.484,0.002,296.949,756.18,297.59,143551,290.946,10136,0.535,144017.389,18909.158,18884,14,0.535,2026/06/22 14:15:02.944
3864996903.993,0.091,0.005,297.363,755.50,297.59,143564,290.946,10136,0.535,144017.389,18909.158,18866,14,0.535,2026/06/22 14:15:03.943
3864996904.991,-0.148,0.135,297.191,755.71,297.59,143540,290.946,10136,0.535,144017.389,18909.158,19077,14,0.535,2026/06/22 14:15:04.941
3864996905.991,-0.377,-0.073,297.023,755.71,297.59,143538,290.946,10136,0.535,144017.389,18909.158,18754,14,0.535,2026/06/22 14:15:05.941
3864996907.008,0.488,0.117,297.657,756.07,297.59,143571,290.946,10136,0.536,144017.389,18909.158,19040,14,0.535,2026/06/22 14:15:06.948
3864996907.991,0.491,0.026,297.660,756.07,297.58,143534,290.946,10136,0.536,144017.389,18909.158,18892,14,0.535,2026/06/22 14:15:07.931
3864996908.991,-0.229,-0.069,297.129,755.50,297.59,143531,290.946,10136,0.535,144017.389,18909.158,18753,14,0.535,2026/06/22 14:15:08.942
3864996909.990,-0.068,0.051,297.253,756.18,297.58,143526,290.946,10136,0.535,144017.389,18909.158,18946,14,0.535,2026/06/22 14:15:09.931
3864996910.988,0.036,-0.145,297.326,755.87,297.59,143506,290.946,10136,0.535,144017.389,18909.158,18627,14,0.535,2026/06/22 14:15:10.931
3864996912.005,0.718,0.061,297.830,756.54,297.59,143512,290.946,10136,0.536,144017.389,18909.158,18943,14,0.535,2026/06/22 14:15:11.958
3864996912.989,0.147,0.115,297.409,756.07,297.59,143468,290.946,10136,0.536,144017.389,18909.158,19032,14,0.535,2026/06/22 14:15:12.931
3864996913.990,0.076,0.010,297.358,756.18,297.59,143497,290.946,10136,0.535,144017.389,18909.158,18874,14,0.535,2026/06/22 14:15:13.940
3864996914.988,1.142,0.074,298.136,756.07,297.58,143509,290.946,10136,0.536,144017.389,18909.158,18946,14,0.535,2026/06/22 14:15:14.940
3864996915.984,459.778,14.394,632.936,755.71,297.59,21337,290.946,31136,0.554,144017.389,18909.158,3016,14,0.535,2026/06/22 14:15:15.934
3864996916.988,NaN,NaN,NaN,755.35,297.58,-192,NaN,31036,NaN,144017.389,18909.158,17.000,14,0.535,2026/06/22 14:15:16.933
3864996917.987,NaN,NaN,NaN,755.04,297.59,233891,NaN,31036,NaN,144017.389,18909.158,16.000,0,0.535,2026/06/22 14:15:17.930
3864996918.985,NaN,NaN,NaN,755.04,297.59,233896,NaN,31036,NaN,144017.389,18909.158,11.000,0,0.535,2026/06/22 14:15:18.934
3864996919.987,NaN,NaN,NaN,755.04,297.59,233897,NaN,31036,NaN,144017.389,18909.158,8.000,0,0.535,2026/06/22 14:15:19.938
3864996920.987,NaN,NaN,NaN,755.24,297.58,233896,NaN,31036,NaN,144017.389,18909.158,13.000,0,0.535,2026/06/22 14:15:20.939
3864996921.985,NaN,NaN,NaN,755.87,297.58,233892,NaN,31036,NaN,144017.389,18909.158,11.000,0,0.535,2026/06/22 14:15:21.939
3864996922.981,NaN,NaN,NaN,755.35,297.59,233905,NaN,31036,NaN,144017.389,18909.158,14.000,0,0.535,2026/06/22 14:15:22.947
3864996923.986,NaN,NaN,NaN,755.04,297.59,117997,NaN,31036,NaN,144017.389,18909.158,15407.000,12,0.535,2026/06/22 14:15:23.939
3864996924.985,0.450,-0.015,297.627,755.71,297.58,144386,290.946,31136,0.536,144017.389,18909.158,18935,12,0.535,2026/06/22 14:15:24.935
3864996925.980,-0.171,0.111,297.170,755.35,297.59,144347,290.946,32136,0.535,144017.389,18909.158,19142,12,0.535,2026/06/22 14:15:25.930
3864996926.985,0.102,0.019,297.373,755.71,297.59,144351,290.946,32136,0.535,144017.389,18909.158,18994,12,0.535,2026/06/22 14:15:26.930
3864996927.985,-0.097,0.150,297.224,755.24,297.59,144325,290.946,32136,0.535,144017.389,18909.158,19197,12,0.535,2026/06/22 14:15:27.930
3864996928.986,0.251,0.080,297.476,755.04,297.59,144299,290.946,32136,0.536,144017.389,18909.158,19071,12,0.535,2026/06/22 14:15:28.938
3864996929.983,0.129,0.002,297.388,755.24,297.59,144272,290.946,32136,0.535,144017.389,18909.158,18949,12,0.535,2026/06/22 14:15:29.938
3864996930.985,-0.144,-0.075,297.186,754.88,297.59,144284,290.946,32136,0.535,144017.389,18909.158,18832,12,0.535,2026/06/22 14:15:30.940
3864996931.980,0.773,0.142,297.860,755.35,297.59,144237,290.946,32136,0.536,144017.389,18909.158,19150,12,0.535,2026/06/22 14:15:31.930
3864996932.984,0.525,-0.042,297.679,755.35,297.59,144248,290.946,32136,0.536,144017.389,18909.158,18867,12,0.535,2026/06/22 14:15:32.930
3864996933.993,0.070,0.137,297.350,755.71,297.59,144236,290.946,32136,0.535,144017.389,18909.158,19166,12,0.535,2026/06/22 14:15:33.946
3864996934.984,-0.264,0.072,297.102,755.24,297.59,144223,290.946,32136,0.535,144017.389,18909.158,19065,12,0.535,2026/06/22 14:15:34.936
3864996935.978,0.508,0.086,297.662,754.88,297.59,144205,290.946,32136,0.536,144017.389,18909.158,19059,12,0.535,2026/06/22 14:15:35.934
3864996936.983,0.037,-0.099,297.317,754.68,297.59,144187,290.946,32136,0.535,144017.389,18909.158,18773,12,0.535,2026/06/22 14:15:36.930
3864996937.983,0.270,0.012,297.493,755.35,297.59,144157,290.946,32136,0.536,144017.389,18909.158,18947,12,0.535,2026/06/22 14:15:37.932
3864996938.993,-0.239,0.081,297.123,755.50,297.59,144120,290.946,32136,0.535,144017.389,18909.158,19068,12,0.535,2026/06/22 14:15:38.950
3864996939.982,-0.034,-0.195,297.268,755.04,297.58,144119,290.946,32136,0.535,144017.389,18909.158,18619,12,0.535,2026/06/22 14:15:39.936
3864996940.981,0.893,0.063,297.945,755.04,297.59,144130,290.946,32136,0.536,144017.389,18909.158,19004,12,0.535,2026/06/22 14:15:40.937
3864996941.983,-0.092,-0.009,297.226,755.04,297.59,144108,290.946,32136,0.535,144017.389,18909.158,18914,12,0.535,2026/06/22 14:15:41.938
3864996942.977,0.217,-0.056,297.457,755.71,297.59,144083,290.946,32136,0.536,144017.389,18909.158,18837,12,0.535,2026/06/22 14:15:42.929
3864996943.976,0.110,0.111,297.377,755.50,297.58,144058,290.946,32136,0.535,144017.389,18909.158,19098,12,0.535,2026/06/22 14:15:43.929
3864996944.997,-0.061,0.031,297.252,755.50,297.59,144051,290.946,32136,0.535,144017.389,18909.158,18975,12,0.535,2026/06/22 14:15:44.957
3864996945.983,-0.134,0.040,297.195,755.04,297.61,144059,290.946,32136,0.535,144017.389,18909.158,18986,12,0.535,2026/06/22 14:15:45.929
3864996946.983,0.106,0.011,297.372,755.24,297.59,144007,290.946,32136,0.535,144017.389,18909.158,18929,12,0.535,2026/06/22 14:15:46.929
3864996947.985,-0.359,-0.099,297.035,755.50,297.59,144010,290.946,32136,0.535,144017.389,18909.158,18772,12,0.535,2026/06/22 14:15:47.938
3864996948.987,0.537,0.089,297.686,755.24,297.59,144017,290.946,32136,0.536,144017.389,18909.158,19043,12,0.535,2026/06/22 14:15:48.930
3864996949.994,0.360,-0.001,297.558,755.35,297.59,144011,290.946,32136,0.536,144017.389,18909.158,18906,12,0.535,2026/06/22 14:15:49.946
3864996950.985,0.449,-0.029,297.621,755.04,297.59,143992,290.946,32136,0.536,144017.389,18909.158,18852,12,0.535,2026/06/22 14:15:50.937
3864996951.985,0.010,0.019,297.303,755.35,297.59,143963,290.946,32136,0.535,144017.389,18909.158,18940,12,0.535,2026/06/22 14:15:51.938
3864996952.980,0.465,0.023,297.638,755.71,297.58,143965,290.946,32136,0.536,144017.389,18909.158,18940,12,0.535,2026/06/22 14:15:52.929
3864996953.985,0.034,0.045,297.322,755.50,297.58,143968,290.946,32136,0.535,144017.389,18909.158,18984,12,0.535,2026/06/22 14:15:53.929
3864996955.001,0.561,-0.018,297.706,755.50,297.59,143952,290.946,32136,0.536,144017.389,18909.158,18867,12,0.535,2026/06/22 14:15:54.952
3864996955.985,-0.315,-0.092,297.063,755.04,297.59,143932,290.946,32136,0.535,144017.389,18909.158,18766,12,0.535,2026/06/22 14:15:55.939
3864996956.985,0.316,-0.013,297.529,755.71,297.59,143956,290.946,32136,0.536,144017.389,18909.158,18885,12,0.535,2026/06/22 14:15:56.938
3864996957.986,0.294,0.004,297.510,755.35,297.59,143921,290.946,32136,0.536,144017.389,18909.158,18904,12,0.535,2026/06/22 14:15:57.929
3864996958.986,0.130,0.082,297.387,755.04,297.59,143932,290.946,32136,0.535,144017.389,18909.158,19029,12,0.535,2026/06/22 14:15:58.929
3864996959.998,0.243,0.019,297.470,755.04,297.59,143912,290.946,32136,0.536,144017.389,18909.158,18924,12,0.535,2026/06/22 14:15:59.950
3864996960.981,-0.410,0.006,296.994,755.04,297.59,143928,290.946,32136,0.535,144017.389,18909.158,18923,12,0.535,2026/06/22 14:16:00.928
